# AMPL-data for demo-model alves.py

set I := 1 2 3 4 5 6 7 8 9 10;
set J := 1 2 3 4 5 ;
set Q := 1 2 3;
param C :=
    1  1 18
    2  1  5
    3  1  8
    4  1 20
    5  1 10
    6  1  4
    7  1 -2
    8  1 -6
    9  1 14
    10 1 10
    1  2  0
    2  2  6
    3  2  3
    4  2 -7
    5  2  1
    6  2  5
    7  2  2
    8  2 10
    9  2  1
    10 2  1
    1  3  9
    2  3 -1
    3  3  0
    4  3 -2
    5  3  2
    6  3 -2
    7  3  5
    8  3  6
    9  3  6
    10 3  5
    ;

param b :=
1  813
2  537
3 2505
4  754
5 1497
;

param A:=
    1  1 -68
    2  1  22
    3  1  -9
    4  1  80
    5  1  55
    6  1  15
    7  1  29
    8  1  16
    9  1 -95
    10 1 -83
    1  2  14
    2  2  98
    3  2  83
    4  2  96
    5  2  48
    6  2   0
    7  2   4
    8  2 -84
    9  2  72
    10 2   2
    1  3  99
    2  3   3
    3  3  91
    4  3  11
    5  3  59
    6  3  92
    7  3  32
    8  3  48
    9  3  26
    10 3  60
    1  4  74
    2  4  75
    3  4   2
    4  4  21
    5  4  77
    6  4   0
    7  4   0
    8  4   0
    9  4  65
    10 4  43
    1  5  56
    2  5 -23
    3  5  14
    4  5  41
    5  5 -55
    6  5 100
    7  5   3
    8  5  19
    9  5  39
    10 5  10
    ;

