# AMPL-data for demo-model iserman.py

# the default values (set in SMS) are: periods=6, life=0, discr=0.05
set I := 1 2 3 4 5 6 7 ;
set J := 1 2 3 4 5 6 7 ;
set Q := 1 2 3 4;
param C :=
    1 1 -2
    2 1  1
    3 1  2
    4 1 -1
    5 1  1
    6 1  2
    7 1 -1
    1 2 -1
    2 2 -2
    3 2  0
    4 2 -2
    5 2  3
    6 2  1
    7 2  0
    1 3  2
    2 3  0
    3 3  0
    4 3 -2
    5 3  0
    6 3 -2
    7 3 -2
    1 4  2
    2 4 -1
    3 4  1
    4 4  1
    5 4  0
    6 4  0
    7 4  3
    ;

param b :=
1 61
2 72
3 76
4 51
5 66
6 59
7 77
;

param A:=
    1 1  1
    2 1  1
    3 1  3
    4 1  0
    5 1  3
    6 1  2
    7 1  0
    1 2  0
    2 2  3
    3 2  2
    4 2  4
    5 2  0
    6 2  0
    7 2  0
    1 3  5
    2 3  3
    3 3  0
    4 3  0
    5 3  5
    6 3  4
    7 3  4
    1 4  4
    2 4  2
    3 4  0
    4 4  4
    5 4  0
    6 4  4
    7 4  0
    1 5  5
    2 5  2
    3 5  0
    4 5  3
    5 5  1
    6 5  4
    7 5  0
    1 6  2
    2 6  2
    3 6  0
    4 6  4
    5 6  4
    6 6  4
    7 6  5
    1 7  3
    2 7  0
    3 7  2
    4 7  0
    5 7  5
    6 7  1
    7 7  2
    ;

