# from the US inflation calculator: how much 1$ of xxx-yr is worth in 2021$
# based on the CPI (Consumer Price Index of the basket of goods)
# https://www.usinflationcalculator.com
# see also: https://www.macrotrends.net/1369/crude-oil-price-history-chart
#
year,multip
1986,2.42
1987,2.33
1988,2.24
1989,2.14
1990,2.03
1991,1.94
1992,1.89
1993,1.83
1994,1.79
1995,1.74
1996,1.69
1997,1.65
1998,1.63
1999,1.59
2000,1.54
2001,1.50
2002,1.47
2003,1.44
2004,1.40
2005,1.36
2006,1.31
2007,1.28
2008,1.23
2009,1.23
2010,1.21
2011,1.18
2012,1.15
2013,1.14
2014,1.12
2015,1.12
2016,1.10
2017,1.08
2018,1.05
2019,1.04
2020,1.02
2021,1.00
#
# 1913,26.76
# 1916,24.30
# 1918,17.54
# 1920,13.24
# 1930,15.86
# 1940,18.92
# 1950,10.99
# 1960,8.95
# 1970,6.83
# 1980,3.21
